Java HotSpot(TM) 64-Bit Server VM (25.92-b14) for windows-amd64 JRE (1.8.0_92-b14), built on Mar 31 2016 21:03:04 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16661528k(12230176k free), swap 25760980k(21196992k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-28T21:21:48.349+0800: 0.644: [Full GC (Ergonomics) [PSYoungGen: 14691K->14164K(29184K)] [ParOldGen: 87186K->87186K(87552K)] 101878K->101351K(116736K), [Metaspace: 2774K->2774K(1056768K)], 0.0060670 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T21:21:48.355+0800: 0.650: [Full GC (Ergonomics) [PSYoungGen: 14827K->14207K(29184K)] [ParOldGen: 87186K->87186K(87552K)] 102014K->101394K(116736K), [Metaspace: 2774K->2774K(1056768K)], 0.0039457 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T21:21:48.359+0800: 0.655: [Full GC (Ergonomics) [PSYoungGen: 14813K->14785K(29184K)] [ParOldGen: 87186K->87186K(87552K)] 102000K->101972K(116736K), [Metaspace: 2774K->2774K(1056768K)], 0.0038057 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T21:21:48.363+0800: 0.659: [Full GC (Ergonomics) [PSYoungGen: 14785K->14785K(29184K)] [ParOldGen: 87354K->87354K(87552K)] 102140K->102140K(116736K), [Metaspace: 2774K->2774K(1056768K)], 0.0039211 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T21:21:48.367+0800: 0.663: [Full GC (Allocation Failure) [PSYoungGen: 14785K->14785K(29184K)] [ParOldGen: 87354K->87335K(87552K)] 102140K->102120K(116736K), [Metaspace: 2774K->2774K(1056768K)], 0.0313415 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-10-28T21:21:48.399+0800: 0.694: [Full GC (Ergonomics) [PSYoungGen: 14785K->14785K(29184K)] [ParOldGen: 87546K->87546K(87552K)] 102331K->102331K(116736K), [Metaspace: 2774K->2774K(1056768K)], 0.0041042 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T21:21:48.403+0800: 0.699: [Full GC (Allocation Failure) [PSYoungGen: 14785K->14785K(29184K)] [ParOldGen: 87546K->87546K(87552K)] 102331K->102331K(116736K), [Metaspace: 2774K->2774K(1056768K)], 0.0036255 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
Heap
 PSYoungGen      total 29184K, used 14848K [0x00000000fd580000, 0x0000000100000000, 0x0000000100000000)
  eden space 14848K, 100% used [0x00000000fd580000,0x00000000fe400000,0x00000000fe400000)
  from space 14336K, 0% used [0x00000000fe400000,0x00000000fe400000,0x00000000ff200000)
  to   space 14336K, 0% used [0x00000000ff200000,0x00000000ff200000,0x0000000100000000)
 ParOldGen       total 87552K, used 87546K [0x00000000f8000000, 0x00000000fd580000, 0x00000000fd580000)
  object space 87552K, 99% used [0x00000000f8000000,0x00000000fd57e900,0x00000000fd580000)
 Metaspace       used 2804K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 316K, capacity 386K, committed 512K, reserved 1048576K
